PlayerName,SeasonStartYear,PPG,REB,AST,STL,BLK,TOV,TS%,PerformanceMetric,InflationAdjSalary,Team,Age,position
Damian Lillard,2017,26.99,4.91,5.87,0.91,0.27,2.63,0.59,78.91,31636171,POR,26,PG
Julius Randle,2021,24.11,10.18,6.01,0.9,0.25,3.39,0.57,78.64,21593832,NYK,26,PF
Russell Westbrook,2016,23.48,7.83,10.43,2.04,0.25,4.28,0.55,78.53,32628781,OKC,27,PG
Blake Griffin,2014,24.13,9.46,3.86,1.15,0.64,2.8,0.58,78.43,21921178,LAC,24,PF
Dwight Howard,2012,20.61,14.54,1.93,1.5,2.15,3.24,0.57,77.96,24870817,ORL,26,C
Dirk Nowitzki,2010,25.02,7.65,2.69,0.86,0.98,1.84,0.58,77.51,23489296,DAL,31,PF
Anthony Davis,2014,20.81,10.04,1.57,1.33,2.82,1.63,0.58,77.49,6970990,NOP,20,PF
Kyrie Irving,2019,23.82,5.0,6.93,1.54,0.51,2.57,0.59,77.28,36719737,BOS,26,PG
Hassan Whiteside,2020,15.52,13.51,1.16,0.39,2.93,1.79,0.64,77.12,2666650,POR,30,C
Dwyane Wade,2010,26.56,4.84,6.51,1.84,1.06,3.27,0.56,77.02,19304091,MIA,28,SG
Russell Westbrook,2019,22.95,11.05,10.74,1.95,0.45,4.45,0.5,76.63,44545016,OKC,30,PG
Russell Westbrook,2021,22.23,11.54,11.74,1.37,0.35,4.8,0.51,76.6,48216568,WAS,32,PG
Kelly Olynyk,2021,19.0,8.44,4.15,1.44,0.59,2.63,0.67,76.52,13299970,HOU,29,PF
Carmelo Anthony,2013,28.66,6.87,2.55,0.78,0.48,2.61,0.56,76.39,27270296,NYK,28,PF
James Harden,2014,25.36,4.71,6.11,1.58,0.4,3.63,0.62,76.36,18267647,HOU,24,SG
LeBron James,2015,25.26,6.03,7.41,1.58,0.71,3.94,0.58,76.35,28521911,CLE,30,SF
Dwight Howard,2010,18.33,13.2,1.76,0.91,2.78,3.34,0.63,76.33,22630892,ORL,24,C
Dwyane Wade,2011,25.54,6.38,4.55,1.46,1.14,3.12,0.58,76.3,20597974,MIA,29,SG
Bradley Beal,2019,25.6,5.01,5.46,1.48,0.71,2.73,0.58,76.22,31341708,WAS,25,SG
DeMarcus Cousins,2015,24.08,12.66,3.56,1.53,1.75,4.31,0.54,76.2,18288447,SAC,24,C
Devin Booker,2020,26.61,4.24,6.51,0.7,0.26,3.77,0.62,76.12,33870189,PHO,23,SG
David Lee,2010,20.25,11.72,3.64,1.05,0.49,2.33,0.58,75.93,14681984,NYK,26,C
Stephen Curry,2014,24.01,4.28,8.54,1.64,0.18,3.77,0.61,75.88,13214370,GSW,25,PG
Kobe Bryant,2013,27.35,5.55,6.01,1.36,0.32,3.68,0.57,75.79,38644129,LAL,34,SG
Russell Westbrook,2020,27.25,7.91,7.04,1.63,0.35,4.47,0.54,75.55,47537680,HOU,31,PG
Carmelo Anthony,2011,26.33,6.7,3.0,0.93,0.56,2.37,0.57,75.33,24309802,NYK,26,SF
James Harden,2013,25.94,4.86,5.83,1.82,0.49,3.78,0.6,75.31,17345317,HOU,23,SG
Rudy Gobert,2017,14.04,12.78,1.2,0.6,2.64,1.81,0.68,75.3,25674583,UTA,24,C
Blake Griffin,2011,22.5,12.06,3.8,0.77,0.55,2.72,0.55,75.13,7523334,LAC,21,PF
Bam Adebayo,2021,18.7,8.95,5.41,1.17,1.03,2.64,0.63,75.11,30649609,MIA,23,C
Kyle Lowry,2017,22.4,4.77,6.95,1.47,0.32,2.88,0.62,75.1,34963505,TOR,30,PG
Kawhi Leonard,2016,21.15,6.85,2.58,1.78,0.99,1.46,0.62,74.93,21684488,SAS,24,SF
Chris Paul,2015,19.07,4.59,10.22,1.9,0.18,2.32,0.6,74.74,26657156,LAC,29,PG
Domantas Sabonis,2020,18.5,12.44,5.0,0.76,0.48,2.74,0.59,74.32,22758053,IND,23,PF
Chris Paul,2014,19.11,4.32,10.69,2.48,0.06,2.34,0.58,74.22,24949488,LAC,28,PG
Andre Drummond,2019,17.34,15.59,1.42,1.72,1.75,2.22,0.56,74.19,31341708,DET,25,C
Shai Gilgeous-Alexander,2021,23.71,4.74,5.91,0.77,0.66,3.03,0.62,74.16,5993413,OKC,22,SG
Trae Young,2021,25.3,3.89,9.43,0.84,0.19,4.14,0.59,73.95,9080829,ATL,22,PG
LaMarcus Aldridge,2018,23.13,8.47,2.03,0.57,1.2,1.48,0.57,73.93,26277600,SAS,32,C
Clint Capela,2021,15.17,14.33,0.78,0.7,2.05,1.16,0.6,73.88,19198277,ATL,26,C
Blake Griffin,2019,24.55,7.53,5.36,0.69,0.37,3.37,0.58,73.87,39852360,DET,29,PF
Carmelo Anthony,2010,28.16,6.58,3.22,1.28,0.43,3.03,0.55,73.73,23313418,DEN,25,SF
Dirk Nowitzki,2011,23.03,7.03,2.6,0.52,0.64,1.88,0.61,73.58,25063699,DAL,32,PF
DeMarcus Cousins,2014,22.73,11.7,2.92,1.54,1.28,3.54,0.56,73.54,17033565,SAC,23,C
Joel Embiid,2018,22.94,10.95,3.16,0.63,1.76,3.71,0.57,73.35,29946649,PHI,23,C
Jimmy Butler,2018,22.15,5.32,4.88,1.97,0.41,1.83,0.59,73.3,23331543,MIN,28,SG
Kyrie Irving,2018,24.43,3.78,5.1,1.08,0.28,2.33,0.61,73.23,23634407,BOS,25,PG
Pau Gasol,2010,18.31,11.29,3.35,0.57,1.74,2.2,0.59,73.21,24229353,LAL,29,C
Pau Gasol,2011,18.79,10.2,3.33,0.59,1.59,1.73,0.59,73.03,24566539,LAL,30,C
DeAndre Jordan,2017,12.7,13.75,1.19,0.63,1.65,1.42,0.67,72.96,27389428,LAC,28,C
Jimmy Butler,2019,21.3,5.2,4.3,2.4,1.0,1.4,0.58,72.76,37876556,MIN,29,SG
JaKarr Sampson,2019,20.0,8.0,1.0,1.0,0.75,1.0,0.63,72.74,2009561,CHI,25,SF
Chris Paul,2017,18.1,4.98,9.23,1.95,0.13,2.41,0.61,72.6,29357063,LAC,31,PG
Kemba Walker,2019,25.63,4.4,5.9,1.24,0.41,2.57,0.56,72.49,37876556,CHO,28,PG
Donovan Mitchell,2021,26.43,4.43,5.23,0.98,0.28,2.77,0.57,72.47,30649609,UTA,24,PG
Andre Drummond,2020,17.76,15.82,2.82,1.98,1.67,3.55,0.55,72.44,33047190,DET,26,C
DeMar DeRozan,2017,27.3,5.22,3.92,1.05,0.18,2.43,0.55,72.42,33555794,TOR,27,SG
Chris Paul,2010,18.69,4.24,10.67,2.13,0.18,2.49,0.58,72.2,20310286,NOH,24,PG
Christian Wood,2021,20.98,9.63,1.73,0.83,1.17,1.95,0.59,72.0,14904833,HOU,25,C
Paul George,2021,23.31,6.65,5.19,1.15,0.44,3.31,0.6,71.98,42909529,LAC,30,SF
De'Aaron Fox,2021,25.19,3.5,7.19,1.5,0.47,3.0,0.56,71.94,30649609,SAC,23,PG
LaMarcus Aldridge,2019,21.32,9.19,2.4,0.53,1.32,1.78,0.58,71.82,30077284,SAS,33,C
Carlos Boozer,2010,19.47,11.21,3.17,1.08,0.46,2.72,0.6,71.81,19575979,UTA,28,PF
Chris Paul,2012,19.82,3.55,9.05,2.53,0.07,2.07,0.58,71.8,22957532,LAC,26,PG
DeMar DeRozan,2020,22.12,5.51,5.59,1.03,0.29,2.41,0.6,71.67,31884233,SAS,30,SF
Jimmy Butler,2020,19.95,6.66,6.03,1.78,0.55,2.19,0.58,71.56,39515221,MIA,30,SF
Kobe Bryant,2010,26.99,5.36,5.0,1.55,0.27,3.19,0.55,71.47,33722683,LAL,31,SG
LaMarcus Aldridge,2014,23.23,11.09,2.58,0.91,0.99,1.78,0.51,71.43,18896830,POR,28,PF
Kyrie Irving,2017,25.22,3.19,5.81,1.15,0.33,2.5,0.58,71.3,22824524,CLE,24,PG
Blake Griffin,2017,21.57,8.15,4.92,0.93,0.36,2.33,0.57,71.2,35700422,LAC,27,PF
Al Jefferson,2014,21.84,10.85,2.12,0.92,1.08,1.7,0.53,71.11,16783368,CHA,29,C
Hassan Whiteside,2017,17.0,14.13,0.74,0.74,2.09,2.0,0.58,71.1,28760155,MIA,27,C
Jaylen Brown,2021,24.66,5.98,3.36,1.24,0.55,2.72,0.59,71.08,29183222,BOS,24,SG
Clint Capela,2020,13.92,13.77,1.23,0.85,1.85,1.62,0.63,71.07,20689139,HOU,25,C
Andre Drummond,2018,15.01,15.99,3.04,1.46,1.63,2.56,0.56,71.05,29907859,DET,24,C
Carmelo Anthony,2011,25.58,7.31,2.87,0.88,0.6,2.68,0.56,71.03,24309802,TOT,26,SF
Chris Paul,2018,18.64,5.4,7.88,1.66,0.24,2.21,0.6,70.99,41925309,HOU,32,PG
DeAndre Jordan,2015,11.54,14.95,0.74,0.99,2.23,1.33,0.64,70.94,24447352,LAC,26,C
DeMar DeRozan,2021,21.57,4.25,6.92,0.92,0.25,1.95,0.59,70.91,28355537,SAS,31,PF
John Collins,2019,19.48,9.75,1.98,0.36,0.64,1.97,0.63,70.87,3107862,ATL,21,PF
LaMarcus Aldridge,2015,23.39,10.23,1.75,0.68,0.96,1.72,0.53,70.82,24447352,POR,29,PF
Devin Booker,2019,26.56,4.14,6.77,0.88,0.2,4.13,0.58,70.81,31563796,PHO,22,SG
Blake Griffin,2012,20.73,10.86,3.18,0.82,0.73,2.27,0.56,70.79,9331645,LAC,22,PF
Andre Drummond,2020,17.72,15.16,2.67,1.91,1.63,3.56,0.55,70.69,33047190,TOT,26,C
Chris Paul,2016,19.54,4.19,9.97,2.05,0.18,2.62,0.57,70.53,28115265,LAC,30,PG
Jayson Tatum,2020,23.44,6.97,3.03,1.41,0.86,2.35,0.57,70.37,11375716,BOS,21,PF
Dirk Nowitzki,2014,21.69,6.22,2.7,0.91,0.56,1.46,0.6,70.35,9913975,DAL,35,PF
Anthony Davis,2021,21.83,7.94,3.06,1.25,1.64,2.06,0.56,70.27,38565013,LAL,27,PF
CJ McCollum,2021,23.13,3.94,4.74,0.94,0.45,1.38,0.58,70.18,33660419,POR,29,SG
John Wall,2017,23.14,4.18,10.65,2.01,0.63,4.13,0.54,70.08,21851023,WAS,26,PG
Blake Griffin,2015,21.93,7.58,5.28,0.94,0.52,2.27,0.55,69.96,23421574,LAC,25,PF
DeAndre Jordan,2016,12.73,13.75,1.17,0.66,2.3,1.39,0.63,69.9,26021385,LAC,27,C
Zach Randolph,2011,20.05,12.19,2.17,0.84,0.33,2.01,0.55,69.69,19953425,MEM,29,PF
Paul George,2017,23.67,6.56,3.35,1.59,0.36,2.93,0.59,69.6,23346338,IND,26,SF
Brandon Ingram,2020,23.82,6.13,4.18,0.98,0.61,3.05,0.59,69.58,31361286,NOP,22,PF
Andrew Bynum,2012,18.72,11.82,1.42,0.45,1.93,2.53,0.59,69.58,21270586,LAL,24,C
Tobias Harris,2019,20.95,7.85,2.73,0.73,0.44,1.98,0.61,69.57,37876556,LAC,26,PF
Derrick Rose,2011,25.01,4.07,7.69,1.05,0.63,3.43,0.55,69.53,9180818,CHI,22,PG
Brandon Ingram,2021,23.77,4.9,4.85,0.69,0.59,2.52,0.58,69.49,32137511,NOP,23,SF
Stephen Curry,2013,22.9,4.03,6.91,1.62,0.15,3.08,0.59,69.39,12547181,GSW,24,PG
Julius Randle,2019,21.44,8.68,3.14,0.71,0.62,2.85,0.6,69.38,20822735,NOP,24,PF
Khris Middleton,2020,20.92,6.16,4.27,0.85,0.11,2.21,0.62,69.14,37989539,MIL,28,SF
DeAndre Jordan,2018,12.04,15.21,1.52,0.51,0.92,1.78,0.65,69.04,26924557,LAC,29,C
